2024-12-03T18:35:32.023+10:00  WARN 22089 --- [RecordsManagement] [restartedMain] JpaBaseConfiguration$JpaWebConfiguration : spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2024-12-03T19:04:35.316+10:00  INFO 23688 --- [RecordsManagement] [http-nio-8080-exec-6] c.m.r.controller.DashboardController     : getDashboard(...) - optionalUser is Present
2024-12-03T19:04:35.901+10:00  INFO 23688 --- [RecordsManagement] [http-nio-8080-exec-1] c.m.r.controller.PersonController        : getPersonDetails(...)
2024-12-03T19:04:36.401+10:00  INFO 23688 --- [RecordsManagement] [http-nio-8080-exec-4] c.m.r.controller.StudentController       : getStudentsByPersonId(...) - personId:1
2024-12-03T19:04:38.364+10:00  INFO 23688 --- [RecordsManagement] [http-nio-8080-exec-3] c.m.r.controller.StudentController       : viewStudentFullDetails(...) - studentId: 4
2024-12-03T19:04:42.672+10:00  INFO 23688 --- [RecordsManagement] [http-nio-8080-exec-2] c.m.r.controller.DashboardController     : getDashboard(...)
2024-12-03T19:04:42.672+10:00  INFO 23688 --- [RecordsManagement] [http-nio-8080-exec-2] c.m.r.controller.DashboardController     : getDashboard(...) - optionalUser is Present
2024-12-03T19:04:43.253+10:00  INFO 23688 --- [RecordsManagement] [http-nio-8080-exec-9] c.m.r.controller.PersonController        : getPersonDetails(...)
2024-12-03T19:04:43.752+10:00  INFO 23688 --- [RecordsManagement] [http-nio-8080-exec-10] c.m.r.controller.StudentController       : getStudentsByPersonId(...) - personId:1
2024-12-03T19:04:46.683+10:00  INFO 23688 --- [RecordsManagement] [http-nio-8080-exec-7] c.m.r.controller.StudentController       : viewStudentFullDetails(...) - studentId: 4
2024-12-03T19:12:08.959+10:00  WARN 23688 --- [RecordsManagement] [SpringApplicationShutdownHook] o.s.b.f.support.DisposableBeanAdapter    : Invocation of destroy method failed on bean with name 'inMemoryDatabaseShutdownExecutor': org.h2.jdbc.JdbcSQLNonTransientConnectionException: Database is already closed (to disable automatic closing at VM shutdown, add ";DB_CLOSE_ON_EXIT=FALSE" to the db URL) [90121-224]
2024-12-03T19:43:25.479+10:00  WARN 26966 --- [RecordsManagement] [main] JpaBaseConfiguration$JpaWebConfiguration : spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2024-12-03T19:44:00.524+10:00  WARN 27002 --- [RecordsManagement] [restartedMain] JpaBaseConfiguration$JpaWebConfiguration : spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2024-12-03T19:44:51.263+10:00  WARN 27002 --- [RecordsManagement] [SpringApplicationShutdownHook] o.s.b.f.support.DisposableBeanAdapter    : Invocation of destroy method failed on bean with name 'inMemoryDatabaseShutdownExecutor': org.h2.jdbc.JdbcSQLNonTransientConnectionException: Database is already closed (to disable automatic closing at VM shutdown, add ";DB_CLOSE_ON_EXIT=FALSE" to the db URL) [90121-224]
2024-12-03T19:44:56.834+10:00  WARN 27078 --- [RecordsManagement] [restartedMain] JpaBaseConfiguration$JpaWebConfiguration : spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2024-12-03T19:46:56.877+10:00  WARN 27078 --- [RecordsManagement] [SpringApplicationShutdownHook] o.s.b.f.support.DisposableBeanAdapter    : Invocation of destroy method failed on bean with name 'inMemoryDatabaseShutdownExecutor': org.h2.jdbc.JdbcSQLNonTransientConnectionException: Database is already closed (to disable automatic closing at VM shutdown, add ";DB_CLOSE_ON_EXIT=FALSE" to the db URL) [90121-224]
2024-12-03T20:02:36.968+10:00  WARN 28265 --- [RecordsManagement] [restartedMain] JpaBaseConfiguration$JpaWebConfiguration : spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2024-12-03T20:12:11.044+10:00  INFO 28265 --- [RecordsManagement] [http-nio-8080-exec-1] o.s.web.servlet.DispatcherServlet        : Initializing Servlet 'dispatcherServlet'
2024-12-03T20:12:11.045+10:00  INFO 28265 --- [RecordsManagement] [http-nio-8080-exec-1] o.s.web.servlet.DispatcherServlet        : Completed initialization in 1 ms
2024-12-03T20:12:20.185+10:00  INFO 28265 --- [RecordsManagement] [http-nio-8080-exec-9] c.m.r.controller.DashboardController     : getDashboard(...)
2024-12-03T20:12:20.186+10:00  INFO 28265 --- [RecordsManagement] [http-nio-8080-exec-9] c.m.r.controller.DashboardController     : getDashboard(...) - optionalUser is Present
2024-12-03T20:12:20.799+10:00  INFO 28265 --- [RecordsManagement] [http-nio-8080-exec-6] c.m.r.controller.PersonController        : getPersonDetails(...)
2024-12-03T20:12:21.298+10:00  INFO 28265 --- [RecordsManagement] [http-nio-8080-exec-7] c.m.r.controller.StudentController       : getStudentsByPersonId(...) - personId:1
2024-12-03T20:12:23.621+10:00  INFO 28265 --- [RecordsManagement] [http-nio-8080-exec-8] c.m.r.controller.StudentController       : viewStudentFullDetails(...) - studentId: 1
2024-12-03T20:23:54.570+10:00  WARN 28265 --- [RecordsManagement] [SpringApplicationShutdownHook] o.s.b.f.support.DisposableBeanAdapter    : Invocation of destroy method failed on bean with name 'inMemoryDatabaseShutdownExecutor': org.h2.jdbc.JdbcSQLNonTransientConnectionException: Database is already closed (to disable automatic closing at VM shutdown, add ";DB_CLOSE_ON_EXIT=FALSE" to the db URL) [90121-224]
2024-12-03T20:24:00.147+10:00  WARN 29667 --- [RecordsManagement] [restartedMain] JpaBaseConfiguration$JpaWebConfiguration : spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2024-12-03T20:24:14.923+10:00  INFO 29667 --- [RecordsManagement] [http-nio-8080-exec-1] o.s.web.servlet.DispatcherServlet        : Initializing Servlet 'dispatcherServlet'
2024-12-03T20:24:14.924+10:00  INFO 29667 --- [RecordsManagement] [http-nio-8080-exec-1] o.s.web.servlet.DispatcherServlet        : Completed initialization in 1 ms
2024-12-03T20:24:14.968+10:00  INFO 29667 --- [RecordsManagement] [http-nio-8080-exec-1] c.m.r.controller.StudentController       : viewStudentFullDetails(...) - studentId: 1
2024-12-03T20:24:29.701+10:00  INFO 29667 --- [RecordsManagement] [http-nio-8080-exec-4] c.m.r.controller.PriorSchoolController   : savePriorSchool(...) - studentId: 1
2024-12-03T20:24:29.707+10:00  INFO 29667 --- [RecordsManagement] [http-nio-8080-exec-4] c.m.r.controller.PriorSchoolController   : saved prior school information
2024-12-03T20:27:26.008+10:00  WARN 29667 --- [RecordsManagement] [SpringApplicationShutdownHook] o.s.b.f.support.DisposableBeanAdapter    : Invocation of destroy method failed on bean with name 'inMemoryDatabaseShutdownExecutor': org.h2.jdbc.JdbcSQLNonTransientConnectionException: Database is already closed (to disable automatic closing at VM shutdown, add ";DB_CLOSE_ON_EXIT=FALSE" to the db URL) [90121-224]
2024-12-03T20:27:31.662+10:00  WARN 29918 --- [RecordsManagement] [restartedMain] JpaBaseConfiguration$JpaWebConfiguration : spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2024-12-03T20:27:49.080+10:00  INFO 29918 --- [RecordsManagement] [http-nio-8080-exec-1] o.s.web.servlet.DispatcherServlet        : Initializing Servlet 'dispatcherServlet'
2024-12-03T20:27:49.081+10:00  INFO 29918 --- [RecordsManagement] [http-nio-8080-exec-1] o.s.web.servlet.DispatcherServlet        : Completed initialization in 1 ms
2024-12-03T20:27:49.120+10:00  INFO 29918 --- [RecordsManagement] [http-nio-8080-exec-1] c.m.r.controller.StudentController       : viewStudentFullDetails(...) - studentId: 1
2024-12-03T20:27:56.934+10:00  INFO 29918 --- [RecordsManagement] [http-nio-8080-exec-5] c.m.r.controller.PriorSchoolController   : savePriorSchool(...) - studentId: 1
2024-12-03T20:27:56.940+10:00  INFO 29918 --- [RecordsManagement] [http-nio-8080-exec-5] c.m.r.controller.PriorSchoolController   : saved prior school information
2024-12-03T20:29:49.596+10:00  INFO 29918 --- [RecordsManagement] [http-nio-8080-exec-1] c.m.r.controller.StudentController       : viewStudentFullDetails(...) - studentId: 1
2024-12-03T20:29:58.462+10:00  INFO 29918 --- [RecordsManagement] [http-nio-8080-exec-2] c.m.r.controller.PriorSchoolController   : savePriorSchool(...) - studentId: 1
2024-12-03T20:29:58.465+10:00  INFO 29918 --- [RecordsManagement] [http-nio-8080-exec-2] c.m.r.controller.PriorSchoolController   : saved prior school information
